date,reference_date,actual,predicted,absolute_error,status
2022-10-01,2022-09-24,1982.0000000000005,1577.9999999999998,404.0000000000007,evaluated
2022-10-02,2022-09-25,1500.0,1291.0,209.0,evaluated
2022-10-03,2022-09-26,3975.000000000001,3862.0000000000014,112.99999999999955,evaluated
2022-10-04,2022-09-27,2840.0,2762.0,78.0,evaluated
2022-10-05,2022-09-28,2792.0000000000005,2153.0000000000005,639.0,evaluated
2022-10-06,2022-09-29,3535.999999999999,3733.9999999999995,198.00000000000045,evaluated
2022-10-07,2022-09-30,2727.0,3103.0000000000014,376.00000000000136,evaluated
2022-10-08,2022-10-01,1475.0,1982.0000000000005,507.00000000000045,evaluated
2022-10-09,2022-10-02,1903.0,1500.0,403.0,evaluated
2022-10-10,2022-10-03,3674.0000000000005,3975.000000000001,301.00000000000045,evaluated
2022-10-11,2022-10-04,2610.0000000000005,2840.0,229.99999999999955,evaluated
2022-10-12,2022-10-05,4690.000000000005,2792.0000000000005,1898.000000000004,evaluated
2022-10-13,2022-10-06,2263.0,3535.999999999999,1272.999999999999,evaluated
2022-10-14,2022-10-07,3009.0,2727.0,282.0,evaluated
2022-10-15,2022-10-08,1733.9999999999995,1475.0,258.99999999999955,evaluated
2022-10-16,2022-10-09,1132.0000000000002,1903.0,770.9999999999998,evaluated
2022-10-17,2022-10-10,4939.0,3674.0000000000005,1264.9999999999995,evaluated
2022-10-18,2022-10-11,2482.0,2610.0000000000005,128.00000000000045,evaluated
2022-10-19,2022-10-12,3167.000000000001,4690.000000000005,1523.0000000000036,evaluated
2022-10-20,2022-10-13,3147.000000000002,2263.0,884.0000000000018,evaluated
2022-10-21,2022-10-14,2687.0000000000005,3009.0,321.99999999999955,evaluated
2022-10-22,2022-10-15,1795.999999999999,1733.9999999999995,61.999999999999545,evaluated
2022-10-23,2022-10-16,1340.0,1132.0000000000002,207.99999999999977,evaluated
2022-10-24,2022-10-17,4541.999999999999,4939.0,397.0000000000009,evaluated
2022-10-25,2022-10-18,3277.0000000000005,2482.0,795.0000000000005,evaluated
2022-10-26,2022-10-19,2888.0000000000005,3167.000000000001,279.00000000000045,evaluated
2022-10-27,2022-10-20,2172.0000000000005,3147.000000000002,975.0000000000014,evaluated
2022-10-28,2022-10-21,220.0,2687.0000000000005,2467.0000000000005,evaluated
2022-10-29,2022-10-22,1687.0000000000007,1795.999999999999,108.99999999999841,evaluated
2022-10-30,2022-10-23,1484.0,1340.0,144.0,evaluated
2022-10-31,2022-10-24,4237.000000000003,4541.999999999999,304.99999999999636,evaluated
2022-11-01,2022-10-25,4441.000000000005,3277.0000000000005,1164.000000000004,evaluated
2022-11-02,2022-10-26,3267.0,2888.0000000000005,378.99999999999955,evaluated
2022-11-03,2022-10-27,4135.000000000006,2172.0000000000005,1963.000000000006,evaluated
2022-11-04,2022-10-28,2885.999999999999,220.0,2665.999999999999,evaluated
2022-11-05,2022-10-29,1859.9999999999998,1687.0000000000007,172.9999999999991,evaluated
2022-11-06,2022-10-30,891.0000000000002,1484.0,592.9999999999998,evaluated
2022-11-07,2022-10-31,3886.0,4237.000000000003,351.00000000000273,evaluated
2022-11-08,2022-11-01,2301.0,4441.000000000005,2140.0000000000045,evaluated
2022-11-09,2022-11-02,2430.0,3267.0,837.0,evaluated
2022-11-10,2022-11-03,2915.999999999999,4135.000000000006,1219.0000000000073,evaluated
2022-11-11,2022-11-04,3067.999999999997,2885.999999999999,181.99999999999773,evaluated
2022-11-12,2022-11-05,1584.9999999999989,1859.9999999999998,275.0000000000009,evaluated
2022-11-13,2022-11-06,2444.0,891.0000000000002,1552.9999999999998,evaluated
2022-11-14,2022-11-07,3662.9999999999995,3886.0,223.00000000000045,evaluated
2022-11-15,2022-11-08,2898.9999999999977,2301.0,597.9999999999977,evaluated
2022-11-16,2022-11-09,2143.9999999999995,2430.0,286.00000000000045,evaluated
2022-11-17,2022-11-10,2968.9999999999977,2915.999999999999,52.999999999998636,evaluated
2022-11-18,2022-11-11,2609.0000000000005,3067.999999999997,458.99999999999636,evaluated
2022-11-19,2022-11-12,1272.9999999999982,1584.9999999999989,312.0000000000007,evaluated
2022-11-20,2022-11-13,2409.0000000000005,2444.0,34.999999999999545,evaluated
2022-11-21,2022-11-14,2853.999999999996,3662.9999999999995,809.0000000000036,evaluated
2022-11-22,2022-11-15,1918.9999999999995,2898.9999999999977,979.9999999999982,evaluated
2022-11-23,2022-11-16,2011.9999999999982,2143.9999999999995,132.00000000000136,evaluated
2022-11-24,2022-11-17,3382.0000000000023,2968.9999999999977,413.00000000000455,evaluated
2022-11-25,2022-11-18,2240.0,2609.0000000000005,369.00000000000045,evaluated
2022-11-26,2022-11-19,1548.9999999999984,1272.9999999999982,276.0000000000002,evaluated
2022-11-27,2022-11-20,1164.0,2409.0000000000005,1245.0000000000005,evaluated
